,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,main color,has blue,has red
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,red,0,1
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,gray,1,1
2,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,no,0,0
3,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,no,0,0
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,red,1,1
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,blue,1,0
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,blue,1,1
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,red,0,1
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,yellow,0,1
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,white,0,1
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,yellow,1,1
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,red,0,1
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,yellow,0,1
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,yellow,1,1
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,red,1,1
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,orange,1,1
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,green,1,1
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,yellow,1,1
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,golden,0,1
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,red,0,1
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,golden,0,1
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,green,0,1
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,gray,0,0
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,red,0,1
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,brown,0,0
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,brown,0,1
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,green,1,1
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,white,0,0
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,red,0,1
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,any,0,1
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,yellow,1,0
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,blue,1,0
32,Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,red,0,1
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,red,0,1
